experiment,model_name,test_source,class_id,class_name,mAP50_95,source_file,model_display_name
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,0,missing_hole,0.790293159639567,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,1,mouse_bite,0.5161968358299975,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,2,open_circuit,0.5710156761277109,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,3,short,0.5143528124974426,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,4,spur,0.4264662191307685,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,5,spurious_copper,0.6382139502249784,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,0,missing_hole,0.8547049126347378,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,1,mouse_bite,0.7359406265962206,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,2,open_circuit,0.6960786075748404,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,3,short,0.6235533831885759,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,4,spur,0.7268035789241931,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,5,spurious_copper,0.8857597160069032,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DsPCBSD,0,missing_hole,0.8076412006791855,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DsPCBSD,1,mouse_bite,0.3818542426257433,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DsPCBSD,2,open_circuit,0.4993425310075807,yolov11s_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s
