experiment,model_name,test_source,weights,precision,recall,f1,mAP50,mAP50_95,inference_ms_per_image,FPS,tp,fp,fn,score_threshold_for_pr,iou_threshold_for_pr,max_detections_per_image,source_file,model_display_name
yolov11s_final_clean_6cls_e50,yolo11s.pt,Merged,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_final_clean_6cls_e50/weights/best.pt,0.8529388719564975,0.8053314084618806,0.8284517562617244,0.878770209530274,0.5760897755750776,11.014335777955615,90.79076761046512,,,,,,,yolov11s_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DeepPCB,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_final_clean_6cls_e50/weights/best.pt,0.9497089428267964,0.937850856396808,0.9437426519935178,0.974986519217414,0.7538068041542451,11.53354618000018,86.70360220467633,,,,,,,yolov11s_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,DsPCBSD,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_final_clean_6cls_e50/weights/best.pt,0.7977081072656874,0.7516444009542539,0.7739914954679287,0.8299910083928362,0.4874363499564351,12.37505135566498,80.80774545975729,,,,,,,yolov11s_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s
yolov11s_final_clean_6cls_e50,yolo11s.pt,HRIPCB,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_final_clean_6cls_e50/weights/best.pt,0.8048332253081689,0.6735835966240155,0.7333824271250757,0.7233050822253716,0.3060150214533408,12.057769323739926,82.93407952589963,,,,,,,yolov11s_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,Merged,/kaggle/working/runs/detect/PCB_Baseline/rtdetr_l_final_clean_6cls_e50/weights/best.pt,0.9214669721663292,0.8969600866247197,0.909048390124184,0.9315007338439738,0.6595393808522694,42.1155633698972,23.74419145761129,,,,,,,rtdetr_l_final_clean_6cls_e50_sourcewise_summary_metrics.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DeepPCB,/kaggle/working/runs/detect/PCB_Baseline/rtdetr_l_final_clean_6cls_e50/weights/best.pt,0.98754933827817,0.9704848230063424,0.9789427209382172,0.9862432756846014,0.8345332551021322,40.6316638166633,24.611347556727267,,,,,,,rtdetr_l_final_clean_6cls_e50_sourcewise_summary_metrics.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,DsPCBSD,/kaggle/working/runs/detect/PCB_Baseline/rtdetr_l_final_clean_6cls_e50/weights/best.pt,0.8593753303311046,0.8404095013224723,0.8497866075317365,0.8698578032757478,0.5398716398959944,42.598750827349534,23.47486676435529,,,,,,,rtdetr_l_final_clean_6cls_e50_sourcewise_summary_metrics.csv,RT-DETR-L
rtdetr_l_final_clean_6cls_e50,rtdetr-l.pt,HRIPCB,/kaggle/working/runs/detect/PCB_Baseline/rtdetr_l_final_clean_6cls_e50/weights/best.pt,0.9742011449046972,0.9506984451298472,0.9623063130144794,0.9613453730615252,0.5197743240553158,40.14387218704679,24.91040214906497,,,,,,,rtdetr_l_final_clean_6cls_e50_sourcewise_summary_metrics.csv,RT-DETR-L
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,/kaggle/working/faster_rcnn_checkpoints/faster_rcnn_resnet50_fpn_final_clean_6cls_e42_best.pth,0.7823051948051948,0.9004110612855007,0.8372133425990271,0.8923798203468323,0.5918202996253967,89.01157338719047,11.234494144375034,4819.0,1341.0,533.0,0.25,0.5,100.0,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_summary_metrics.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,/kaggle/working/faster_rcnn_checkpoints/faster_rcnn_resnet50_fpn_final_clean_6cls_e42_best.pth,0.9147640791476408,0.977765726681128,0.94521625163827,0.9744020700454712,0.7772843837738037,89.6617317199707,11.153030181517966,1803.0,168.0,41.0,0.25,0.5,100.0,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_summary_metrics.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,/kaggle/working/faster_rcnn_checkpoints/faster_rcnn_resnet50_fpn_final_clean_6cls_e42_best.pth,0.7077612776688148,0.8629996583532628,0.7777093596059114,0.8416324853897095,0.5120692849159241,89.04991196005383,11.229657368427066,2526.0,1043.0,401.0,0.25,0.5,100.0,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_summary_metrics.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,/kaggle/working/faster_rcnn_checkpoints/faster_rcnn_resnet50_fpn_final_clean_6cls_e42_best.pth,0.7903225806451613,0.8433734939759037,0.8159866777685263,0.836264431476593,0.3918990790843963,93.24633817878558,10.724281720132035,490.0,130.0,91.0,0.25,0.5,100.0,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_summary_metrics.csv,Faster R-CNN
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.8427888158362284,0.81456008543536,0.8284340482620294,0.8817687808984379,0.5764356957636575,16.376420488079066,61.0634052006623,,,,,,,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.9587660813682266,0.9214925058072226,0.939759844554337,0.9770372413931958,0.7516681217596763,15.65736303667412,63.86771499502871,,,,,,,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.775416475798481,0.7473334228769394,0.7611159909026841,0.806729932247015,0.4720628537118638,15.82714375483559,63.18259412374863,,,,,,,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,/kaggle/working/runs/detect/PCB_Baseline/yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50/weights/best.pt,0.8377164177864177,0.7178216196165526,0.7731485072506074,0.789897261496835,0.3821097178359473,16.501334633130355,60.601158768834495,,,,,,,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_summary_metrics.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,/kaggle/working/runs/detect/PCB_Baseline/pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768/weights/best.pt,0.8944857972270875,0.8766628494438667,0.8854846477827558,0.917661358038828,0.6111998356056133,47.82263830365962,20.91059873464729,,,,,,,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_summary_metrics.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,/kaggle/working/runs/detect/PCB_Baseline/pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768/weights/best.pt,0.9831955319158164,0.9602914802937234,0.971608543643634,0.9834610611073958,0.7595799302498981,47.8627992966661,20.89305294915451,,,,,,,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_summary_metrics.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DsPCBSD,/kaggle/working/runs/detect/PCB_Baseline/pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768/weights/best.pt,0.8241610767851858,0.8068215121978447,0.8153991229066959,0.8413223218435645,0.5068057786984558,47.87701028038562,20.886851416653364,,,,,,,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_summary_metrics.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,HRIPCB,/kaggle/working/runs/detect/PCB_Baseline/pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768/weights/best.pt,0.9563025568625404,0.9207368878567572,0.9381827777058253,0.942224942961047,0.4730683244586008,47.72317331654782,20.95418075757452,,,,,,,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_summary_metrics.csv,PCBNet-RTDETR-HybridOpt
