experiment,model_name,test_source,class_id,class_name,mAP50_95
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,0,missing_hole,0.8194617629051208
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,1,mouse_bite,0.5187957286834717
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,2,open_circuit,0.5795313715934753
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,3,short,0.5259318947792053
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,4,spur,0.4375084936618805
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,Merged,5,spurious_copper,0.6696926951408386
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,0,missing_hole,0.9252676367759705
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,1,mouse_bite,0.751804769039154
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,2,open_circuit,0.6881680488586426
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,3,short,0.6298626661300659
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,4,spur,0.7423031330108643
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,5,spurious_copper,0.9263002276420593
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,0,missing_hole,0.824138343334198
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,1,mouse_bite,0.38287729024887085
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,2,open_circuit,0.5121946930885315
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,3,short,0.4948812425136566
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,4,spur,0.3467661440372467
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,5,spurious_copper,0.5115580558776855
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,0,missing_hole,0.528465986251831
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,1,mouse_bite,0.36542633175849915
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,2,open_circuit,0.38886764645576477
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,3,short,0.32746049761772156
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,4,spur,0.3455233573913574
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,5,spurious_copper,0.39565056562423706
